algorithm,puzzle,new,newarray,anewarray,multianewarray
BFS,SUDOKU_PUZZLE_9x9_101,35,0,2,1
BFS,SUDOKU_PUZZLE_9x9_102,35,0,2,1
BFS,SUDOKU_PUZZLE_9x9_103,35,0,2,1
BFS,SUDOKU_PUZZLE_9x9_104,35,0,2,1
BFS,SUDOKU_PUZZLE_9x9_105,35,0,2,1
BFS,SUDOKU_PUZZLE_16x16_01,42,0,2,1
BFS,SUDOKU_PUZZLE_16x16_02,42,0,2,1
BFS,SUDOKU_PUZZLE_16x16_03,42,0,2,1
BFS,SUDOKU_PUZZLE_16x16_04,42,0,2,1
BFS,SUDOKU_PUZZLE_16x16_05,51,0,2,1
BFS,SUDOKU_PUZZLE_16x16_06,51,0,2,1
DLX,SUDOKU_PUZZLE_9x9_101,1035,60,3,2
DLX,SUDOKU_PUZZLE_9x9_102,1035,60,3,2
DLX,SUDOKU_PUZZLE_9x9_103,1059,60,3,2
DLX,SUDOKU_PUZZLE_9x9_104,1023,60,3,2
DLX,SUDOKU_PUZZLE_9x9_105,1051,60,3,2
DLX,SUDOKU_PUZZLE_16x16_01,3290,203,3,2
DLX,SUDOKU_PUZZLE_16x16_02,3314,203,3,2
DLX,SUDOKU_PUZZLE_16x16_03,3290,203,3,2
DLX,SUDOKU_PUZZLE_16x16_04,3274,203,3,2
DLX,SUDOKU_PUZZLE_16x16_05,7767,511,3,2
DLX,SUDOKU_PUZZLE_16x16_06,7779,512,3,2
CP,SUDOKU_PUZZLE_9x9_101,153,0,2,1
CP,SUDOKU_PUZZLE_9x9_102,153,0,2,1
CP,SUDOKU_PUZZLE_9x9_103,205,0,2,1
CP,SUDOKU_PUZZLE_9x9_104,150,0,2,1
CP,SUDOKU_PUZZLE_9x9_105,168,0,2,1
CP,SUDOKU_PUZZLE_16x16_01,682,0,2,1
CP,SUDOKU_PUZZLE_16x16_02,1375,0,2,1
CP,SUDOKU_PUZZLE_16x16_03,545,0,2,1
CP,SUDOKU_PUZZLE_16x16_04,563,0,2,1
CP,SUDOKU_PUZZLE_16x16_05,4401,0,2,1
CP,SUDOKU_PUZZLE_16x16_06,2030,0,2,1
